id,CK-1,CK-2,CK-3,T-1,T-2,T-3,TH-1,TH-2,TH-3
BraA01000001,0,0,0,0,0,0,0,0,0
BraA01000002,63.07,93.72,70.41,65.47,79.79,79.7,66.48,95.29,76.28
BraA01000003,288.93,276.81,527.85,924.31,746.8,651.47,351.64,317.61,288.41
BraA01000004,57,69,43,36,30,13,73,60,75
BraA01000005,0,0,0,17,17,17,0,0,0
BraA01000006,65,116,80,35,27,14,105,44,79
BraA01000007,29,35,32,107,143,146,33,43,17
BraA01000008,441.66,227.32,227.24,78.74,100.02,78.73,272.96,143.61,79.79
BraA01000009,47.86,38.22,32,12,20,20,28,33.93,42
BraA01000010,39,50,54,107,130,134,51,37,36
BraA01000011,0,0,0,0,0,0,0,0,0
BraA01000012,0,0,0,1,2,3,0,1,1
BraA01000013,0,0,1,0,0,0,0,0,0
BraA01000014,0,0,0,0,0,0,0,0,0
BraA01000015,0,0,0,0,3,6,0,0,0
BraA01000016,0,0,0,1,5,2,0,0,0
BraA01000017,0,0,0,0,0,0,0,1,0
BraA01000018,3,1,3,2,6,12,0,1,3
BraA01000019,1,0,2,0,0,0,1,0,3
BraA01000020,181,295,343,162,166,161,225,167,229
BraA01000021,60,60,50,57,67,73,64,52,79
BraA01000022,34,41,66,181,198,156,50,26,31
BraA01000023,12,9,1,1368,1992.02,2124,0,2,0
BraA01000024,0,0,0,0,0,0,0,0,0
BraA01000025,0,0,0,0,0,0,0,0,0
BraA01000026,27,51,37,25,20,8,31,22,15
BraA01000027,13,11,48,31,31,24,5,8,10
BraA01000028,0,0,0,1,0,0,0,2,0
BraA01000029,0,0,0,0,0,0,0,0,0
BraA01000030,483,466.22,549.36,845,938,956,355,411,318
BraA01000031,177,168,216,72,93,65,191,155,131
BraA01000032,0,0,0,0,17.59,0,0,0,0
BraA01000033,0,0,0,0,0,0,0,0,0
BraA01000034,0,0,0,0,1,0,0,0,2
BraA01000035,96,73,57,116,108,135,131,105,140
BraA01000036,327,382,446,544,601,581,385,313,331
BraA01000037,0,0,0,0,0,0,0,0,0
BraA01000038,72,155,164,21,46,44,56,142,42
BraA01000039,1,4,4,1,0,3,1,0,0
BraA01000040,0,0,4,2,3,5,3,1,0
BraA01000041,0,0,0,0,0,1,0,0,0
BraA01000042,92,113,327,333,357,217,102,61,98
BraA01000043,0,0,0,0,0,0,0,0,1
BraA01000044,40,60,69,20,52,45,52,48,55
BraA01000045,219.22,219.3,209.07,431.8,603.75,472.22,257.26,154.05,221.83
BraA01000046,0,0,0,0,0,1,0,1,0
BraA01000047,716,809,644,557,647,679,842,741,1055
BraA01000048,366,431,442,304,385,348,592,532,697
BraA01000049,21.59,15.13,18.36,6.78,22.2,36.78,9.1,10.48,7.95
BraA01000050,0,0,0,0,0,0,0,0,0
BraA01000051,0,13,0,13,19,0,0.1,9,0
BraA01000052,0,0,0,0,0,0,0,0,0
BraA01000053,70.41,80.87,156.64,89.22,152.8,91.22,67.9,75.52,64.05
BraA01000054,55,53,59,40,36,47,51,52,67
BraA01000055,0,0,0,0,0,0,0,0,0
BraA01000056,13,0,23,0,0,17,27.9,0,18
BraA01000057,0,0,0,0,0,0,0,0,0
BraA01000058,0,0,0,0,0,0,0,0,0
BraA01000059,0,0,0,0,0,0,0,0,0
BraA01000060,1,0,2,0,0,0,1,2,1
BraA01000061,1366,1607,1341,710,774.84,640,1470,1572.48,1841.78
BraA01000062,25,14,18,51,46,53,16,7,20
BraA01000063,0,0,0,0,0,0,0,0,0
BraA01000064,0,0,0,0,0,0,0,0,0
BraA01000065,358,349,370,114,178,109,363,301,387
BraA01000066,0,0,0,0,0,0,0,0,0
BraA01000067,935,790,1095,610,818,707,583,505,359
BraA01000068,0,0,1,0,0,0,0,0,0
BraA01000069,77,75,109,199,225,199,111,68,83
BraA01000070,0,0,0,0,0,0,0,0,0
BraA01000071,0,0,0,0,0,0,0,0,0
BraA01000072,0,0,0,0,0,0,0,0,0
BraA01000073,0,0,2,2,2,1,0,0,2
BraA01000074,7,1,7,0,0,0,1,0,6
BraA01000075,5,6,6,276,409,382,2,2,2
BraA01000076,78,70,61,12,17,6,102,59,87
BraA01000077,0,0,0,0,0,0,0,0,0
BraA01000078,0,0,9,34,57,39,0,0,0
BraA01000079,178,200,233,13,27,21,106,108,153
BraA01000080,5,5,9,29,32,43,4,4,5
BraA01000081,3,6,3,1,4,2,0,2,2
BraA01000082,42,16,267,11341,11290,10515,41,59,25
BraA01000083,0,0,0,0,0,0,0,1,0
BraA01000084,40,24,26,17,16,22,32,27,24
BraA01000085,340,436,891,390,541,409,538,255,307
BraA01000086,190,196,419,220,210,148,236,118,164
BraA01000087,102,77,82,31,33,29,103,78,115
BraA01000088,19,31,61,31,46,37,23,4,15
BraA01000089,0,0,0,0,0,0,0,0,0
BraA01000090,354,425,323,205,263,208,389,409,352
BraA01000091,21,12,95,51,92,85,17,0,1
BraA01000092,261,179,801,230,253,229,220,97,76
BraA01000093,118,145,158,302,411,424,122,95,110
BraA01000094,2965,2856,1828,273,339,285,2688,2408,3163
BraA01000095,0,4,2,0,0,0,0,2,1
BraA01000096,0,0,0,0,0,0,0,0,0
BraA01000097,76,121,90,111,86,64,138,73,130
BraA01000098,30,23,9,3,6,6,23,11,35
BraA01000099,844,974,1144,918,1273,1111,953,877,1236
BraA01000100,98,71,80,55,84,59,72,86,101
BraA01000101,0,1,2,0,2,1,0,1,3
BraA01000102,369,502,488,231,281,219,501,407,582
BraA01000103,0,0,0,0,0,0,1,0,2
BraA01000104,472,586,605,789,970,872,552,353,358
BraA01000105,0,0,0,0,0,0,1,0,0
BraA01000106,39,18,39,43,33.76,47,37,45.58,57
BraA01000107,0,1,12,0,0,0,2,3,1
BraA01000108,0,0,0,0,0,0,0,0,0
BraA01000109,0,0,0,0,1.24,0,0,1.42,0
BraA01000110,0,0,0,9,15,15,4,1,4
BraA01000111,25,34,44,17,27,7,46,37,45
BraA01000112,177,181,142,134,156,160,228,171,244
BraA01000113,0,0,0,1,1,1,2,0,2
BraA01000114,0,0,6,13,22,21,3,0,3
BraA01000115,0,0,0,8,4,6,0,0,0
BraA01000116,5,0,12,37,46,48,1,0,0
BraA01000117,57,51,102,22,7,6,64,71,91
BraA01000118,149,126,132,4,5,3,161,150,120
BraA01000119,40.28,16.79,32,7013.99,7475.23,10613.19,28,21.92,33
BraA01000120,17,28,37,110,133,117,39,14,20
BraA01000121,754.34,996.82,776.44,189.58,330,223,723,772.21,1286.87
BraA01000122,217,203,191,203,219,207,192,217,244
BraA01000123,1884,1766,3219,2635,2314,2263,2057,1051,2371
BraA01000124,0,0,0,1,0,0,0,0,0
BraA01000125,0,1,2,0,0,0,0,1,0
BraA01000126,28,34,59,33,23,52,29,16,37
BraA01000127,0,0,1,0,2,2,1,3,0
BraA01000128,77,80,80,129,148,181,76,69,42
BraA01000129,0,0,1,0,0,0,0,0,0
BraA01000130,103,88,18,13,74,7,216,166,207
BraA01000131,0,0,0,319,337,517.99,0,1.07,0
BraA01000132,0,0,0,0,0,0.01,0,1.93,0
BraA01000133,60,126,141,36,50,35,68,54,54
BraA01000134,9,12,32,8,38,18,3,2,2
BraA01000135,47,61,69,1,11,8,69,84,49
BraA01000136,51,51,60,105,118,119,58,61,36
BraA01000137,268,219,122,74,107,125,199,227,148
BraA01000138,48,48,154,31,53,21,75,44,49
BraA01000139,0,0,0,0,0,1.34,0,0,0
BraA01000140,0.83,5.45,3.45,0,0.64,0,0,11.96,2.54
BraA01000141,0,0,0,0,0,0,0,0,0
BraA01000142,0,0,0,0,0,0,0,0,0
BraA01000143,84.17,48.55,93.55,4,17.36,6.66,124,69.04,89.46
BraA01000144,3,6,3,1,4,2,4,2,4
BraA01000145,20,15,17,337,383,470,29,9,16
BraA01000146,41,31,43,628,713,685,25,22,19
BraA01000147,2,0,8,1,1,0,4,3,4
BraA01000148,0,1,1,0,0,0,0,0,0
BraA01000149,2818,3016,1831,643,1066,453,2665,2213,1698
BraA01000150,53,43,43,266,345,392,48,48,33
BraA01000151,20,18,72,26,33,24,25,23,10
BraA01000152,0,0,0,0,0,0,0,0,0
BraA01000153,526,588,412,349,428,419,685,463,670
BraA01000154,57,84,236,100,160,103,116,76,110
BraA01000155,372,383,302,509,597,551,422,382,528
BraA01000156,344,324,240,389,403,407,354,329,333
BraA01000157,25,35,26,43,36,30,23,22,21
BraA01000158,0,0,0,0,0,0,0,0,0
BraA01000159,15,13,46,206,170,194,28,5,6
BraA01000160,0,0,0,91.29,55.59,15.26,0,0,0
BraA01000161,0,0,0,377.71,200.41,99.74,0,0,0
BraA01000162,0,0,0,0,0,0,0,0,0
BraA01000163,377,282,1582,287,229,352,390,528,172
BraA01000164,2,4,23,107,105,56,2,2,2
BraA01000165,1964,1900,193,14,22,8,665,455,203
BraA01000166,1,0,2,162,179,206,0,0,0
BraA01000167,9,17,26,0,3.06,0,12,9,2
BraA01000168,0,0,0,0,0.94,0,0,0,0
BraA01000169,0,0,0,0,0,0,0,0,0
BraA01000170,244,262,199,90,125,117,261,219,295
BraA01000171,29,38,34,131,190,222,18,17,28
BraA01000172,0,0,0,1,1,0,0,0,1
BraA01000173,1,2,0,0,0,0,4,4,4
BraA01000174,397,504,473,1115,1204,1648,394,413,344
BraA01000175,0,0,0.38,0,0,0,0,0,0
BraA01000176,168,243,329.62,226,255,454,158,191,150
BraA01000177,0,0,0,0,0,0,0,0,0
BraA01000178,7,19,36,39,44,29,13,5,12
BraA01000179,10,5,5,4,11,1,20,12,53
BraA01000180,190,245,179,126,170,125,272,213,318
BraA01000181,28,31,21,20,14,14,31,27,42
BraA01000182,0,0,0,0,0,0,0,0,0
BraA01000183,0,0,0,0,0,0,0,0,0
BraA01000184,0,0,0,0,0,0,0,0,0
BraA01000185,59,66,161,142,183,171,91,60,149
BraA01000186,3,7,2,1,1,2,3,2,0
BraA01000187,3,1,10,0,0,0,0,5,0
BraA01000188,0,0,0,0,0,0,0,0,0
BraA01000189,447,521,485,460,521,503,349,331,273
BraA01000190,37,36,49,465,471,483,40,28,36
BraA01000191,46,46,70,151,202,208,49,52,44
BraA01000192,1,1,1,1,0,0,0,0,0
BraA01000193,0,0,0,0,0,0,0,0,0
BraA01000194,0,0,0,0,0,0,0,0,0
BraA01000195,3,2,3,33,11,8,0,1,1
BraA01000196,63,75,76,115,122,139,65,42,68
BraA01000197,10,8,20,7,5,3,13,7,5
BraA01000198,0,0,1,0,2,0,0,0,0
BraA01000199,28,46,49,29,34,30,71,41,71
BraA07001021,134,40.5,33.5,4816.5,6187,6188,90,26.5,79.5
